Full Date,Weighted Drought Score
1/1/2000,67.104
2/1/2000,73.052
3/1/2000,79.1365
4/1/2000,79.4985
5/1/2000,80
6/1/2000,80
7/1/2000,79.6195
8/1/2000,76.2028
9/1/2000,77.538
10/1/2000,77.8732
11/1/2000,80
12/1/2000,80
1/1/2001,74.6
2/1/2001,72.997
3/1/2001,73.884
4/1/2001,70.379
5/1/2001,68.4392
6/1/2001,62.0845
7/1/2001,61.3144
8/1/2001,59.873
9/1/2001,52.2365
10/1/2001,50.084
11/1/2001,50.773
12/1/2001,61.4285
1/1/2002,76.8504
2/1/2002,71.907
3/1/2002,67.4135
4/1/2002,59.2408
5/1/2002,56.057
6/1/2002,47.6585
7/1/2002,43.0588
8/1/2002,41.701
9/1/2002,41.944
10/1/2002,38.898
11/1/2002,45.0505
12/1/2002,53.3628
1/1/2003,60.461
2/1/2003,58.688
3/1/2003,60.636
4/1/2003,62.132
5/1/2003,65.6375
6/1/2003,65.921
7/1/2003,65.732
8/1/2003,65.9405
9/1/2003,65.8624
10/1/2003,58.394
11/1/2003,59.7385
12/1/2003,62.574
1/1/2004,67.7935
2/1/2004,68.6345
3/1/2004,69.294
4/1/2004,62.6775
5/1/2004,52.6745
6/1/2004,51.8548
7/1/2004,50.478
8/1/2004,46.0468
9/1/2004,44.548
10/1/2004,47.593
11/1/2004,56.5948
12/1/2004,59.89
1/1/2005,75.329
2/1/2005,77.2595
3/1/2005,77.5924
4/1/2005,78.641
5/1/2005,79.3844
6/1/2005,79.722
7/1/2005,79.79
8/1/2005,79.7768
9/1/2005,79.861
10/1/2005,79.916
11/1/2005,78.9516
12/1/2005,78.383
1/1/2006,79.4464
2/1/2006,76.643
3/1/2006,76.741
4/1/2006,78.5265
5/1/2006,78.4648
6/1/2006,78.443
7/1/2006,78.3925
8/1/2006,78.5056
9/1/2006,76.627
10/1/2006,76.7964
11/1/2006,76.06
12/1/2006,67.486
1/1/2007,55.8448
2/1/2007,46.693
3/1/2007,46.7405
4/1/2007,36.5485
5/1/2007,31.668
6/1/2007,28.795
7/1/2007,28.4664
8/1/2007,28.454
9/1/2007,28.4575
10/1/2007,30.0196
11/1/2007,33.188
12/1/2007,33.214
1/1/2008,41.0172
2/1/2008,54.901
3/1/2008,60.0645
4/1/2008,56.4916
5/1/2008,50.1195
6/1/2008,42.463
7/1/2008,37.8272
8/1/2008,33.302
9/1/2008,30.6312
10/1/2008,30.0015
11/1/2008,35.057
12/1/2008,33.2044
1/1/2009,33.517
2/1/2009,34.6595
3/1/2009,42.772
4/1/2009,39.882
5/1/2009,39.247
6/1/2009,37.2932
7/1/2009,37.066
8/1/2009,36.874
9/1/2009,36.142
10/1/2009,41.098
11/1/2009,42.7585
12/1/2009,44.3344
1/1/2010,49.449
2/1/2010,67.59
3/1/2010,69.6872
4/1/2010,70.171
5/1/2010,72.5535
6/1/2010,75.436
7/1/2010,75.8945
8/1/2010,75.424
9/1/2010,75.424
10/1/2010,76.2975
11/1/2010,76.9192
12/1/2010,77.429
1/1/2011,79.9215
2/1/2011,77.728
3/1/2011,79.406
4/1/2011,79.998
5/1/2011,79.998
6/1/2011,79.384
7/1/2011,77.313
8/1/2011,77.8824
9/1/2011,77.6595
10/1/2011,77.85
11/1/2011,77.7156
12/1/2011,72.8475
1/1/2012,54.1696
2/1/2012,47.5415
3/1/2012,35.8085
4/1/2012,40.585
5/1/2012,46.988
6/1/2012,46.8085
7/1/2012,45.7956
8/1/2012,44.339
9/1/2012,44.0475
10/1/2012,43.7272
11/1/2012,43.291
12/1/2012,49.091
1/1/2013,51.7376
2/1/2013,49.9765
3/1/2013,46.928
4/1/2013,44.0876
5/1/2013,31.118
6/1/2013,27.02
7/1/2013,21.6668
8/1/2013,21.582
9/1/2013,22.668
10/1/2013,24.5016
11/1/2013,24.6715
12/1/2013,24.8824
1/1/2014,23.1425
2/1/2014,20.076
3/1/2014,17.54
4/1/2014,16.112
5/1/2014,15.2475
6/1/2014,14.229
7/1/2014,11.8292
8/1/2014,8.6875
9/1/2014,9.2508
10/1/2014,9.302
11/1/2014,10.1625
12/1/2014,13.0788
1/1/2015,13.986
2/1/2015,13.659
3/1/2015,13.6144
4/1/2015,12.6095
5/1/2015,12.223
6/1/2015,12.152
