Date,Gasoline Prices (Dollars per Gallon)
6/15/2000,1.592
7/15/2000,1.645
8/15/2000,1.59
9/15/2000,1.727
10/15/2000,1.746
11/15/2000,1.692
12/15/2000,1.627
1/15/2001,1.554
2/15/2001,1.607
3/15/2001,1.655
4/15/2001,1.75
5/15/2001,2.007
6/15/2001,1.981
7/15/2001,1.818
8/15/2001,1.571
9/15/2001,1.621
10/15/2001,1.47
11/15/2001,1.252
12/15/2001,1.065
1/15/2002,1.167
2/15/2002,1.303
3/15/2002,1.49
4/15/2002,1.622
5/15/2002,1.584
6/15/2002,1.601
7/15/2002,1.61
8/15/2002,1.604
9/15/2002,1.604
10/15/2002,1.536
11/15/2002,1.575
12/15/2002,1.52
1/15/2003,1.61
2/15/2003,1.812
3/15/2003,2.135
4/15/2003,2.083
5/15/2003,1.882
6/15/2003,1.793
7/15/2003,1.749
8/15/2003,1.912
9/15/2003,2.095
10/15/2003,1.847
11/15/2003,1.742
12/15/2003,1.697
1/15/2004,1.747
2/15/2004,1.966
3/15/2004,2.2
4/15/2004,2.234
5/15/2004,2.331
6/15/2004,2.35
7/15/2004,2.249
8/15/2004,2.135
9/15/2004,2.119
10/15/2004,2.404
11/15/2004,2.371
12/15/2004,2.17
1/15/2005,2.054
2/15/2005,2.21
3/15/2005,2.386
4/15/2005,2.609
5/15/2005,2.529
6/15/2005,2.423
7/15/2005,2.565
8/15/2005,2.738
9/15/2005,3.004
10/15/2005,2.93
11/15/2005,2.61
12/15/2005,2.348
1/15/2006,2.436
2/15/2006,2.568
3/15/2006,2.664
4/15/2006,2.95
5/15/2006,3.412
6/15/2006,3.299
7/15/2006,3.305
8/15/2006,3.251
9/15/2006,2.957
10/15/2006,2.59
11/15/2006,2.507
12/15/2006,2.579
1/15/2007,2.59
2/15/2007,2.678
3/15/2007,3.09
4/15/2007,3.326
5/15/2007,3.476
6/15/2007,3.302
7/15/2007,3.134
8/15/2007,2.904
9/15/2007,2.906
10/15/2007,3.097
11/15/2007,3.361
12/15/2007,3.314
1/15/2008,3.277
2/15/2008,3.195
3/15/2008,3.599
4/15/2008,3.843
5/15/2008,3.991
6/15/2008,4.537
7/15/2008,4.533
8/15/2008,4.129
9/15/2008,3.812
10/15/2008,3.44
11/15/2008,2.575
12/15/2008,1.867
1/15/2009,2.026
2/15/2009,2.247
3/15/2009,2.236
4/15/2009,2.382
5/15/2009,2.532
6/15/2009,2.977
7/15/2009,2.939
8/15/2009,3.065
9/15/2009,3.176
10/15/2009,3.082
11/15/2009,3.055
12/15/2009,3.008
1/15/2010,3.112
2/15/2010,3.045
3/15/2010,3.136
4/15/2010,3.167
5/15/2010,3.16
6/15/2010,3.161
7/15/2010,3.185
8/15/2010,3.187
9/15/2010,3.057
10/15/2010,3.154
11/15/2010,3.211
12/15/2010,3.313
1/15/2011,3.411
2/15/2011,3.592
3/15/2011,4.029
4/15/2011,4.236
5/15/2011,4.267
6/15/2011,4
7/15/2011,3.894
8/15/2011,3.853
9/15/2011,4.003
10/15/2011,3.929
11/15/2011,3.896
12/15/2011,3.695
1/15/2012,3.825
2/15/2012,4.107
3/15/2012,4.48
4/15/2012,4.352
5/15/2012,4.407
6/15/2012,4.145
7/15/2012,3.864
8/15/2012,4.162
9/15/2012,4.229
10/15/2012,4.511
11/15/2012,3.925
12/15/2012,3.694
1/15/2013,3.766
2/15/2013,4.27
3/15/2013,4.303
4/15/2013,4.078
5/15/2013,4.089
6/15/2013,4.098
7/15/2013,4.134
8/15/2013,3.962
9/15/2013,4.03
10/15/2013,3.839
11/15/2013,3.662
12/15/2013,3.706
1/15/2014,3.709
2/15/2014,3.804
3/15/2014,4.067
4/15/2014,4.305
5/15/2014,4.271
6/15/2014,4.211
7/15/2014,4.136
8/15/2014,3.947
9/15/2014,3.803
10/15/2014,3.609
11/15/2014,3.258
12/15/2014,2.948
1/15/2015,2.627
2/15/2015,2.821
3/15/2015,3.457
4/15/2015,3.33
5/15/2015,3.945
