Date,# of Departures
1/1/2006,695800
2/1/2006,600008
3/1/2006,680319
4/1/2006,672268
5/1/2006,723954
6/1/2006,788261
7/1/2006,814733
8/1/2006,775353
9/1/2006,660808
10/1/2006,665779
11/1/2006,618523
12/1/2006,726191
1/1/2007,676886
2/1/2007,590498
3/1/2007,705313
4/1/2007,677601
5/1/2007,726649
6/1/2007,790803
7/1/2007,837449
8/1/2007,795208
9/1/2007,678458
10/1/2007,711020
11/1/2007,684505
12/1/2007,762236
1/1/2008,712309
2/1/2008,622411
3/1/2008,735966
4/1/2008,662588
5/1/2008,736076
6/1/2008,776734
7/1/2008,786861
8/1/2008,767181
9/1/2008,635866
10/1/2008,660588
11/1/2008,590743
12/1/2008,655627
1/1/2009,610614
2/1/2009,521019
2/1/2009,701060
3/1/2009,590179
3/1/2009,797363
4/1/2009,601080
5/1/2009,583246
6/1/2009,663424
7/1/2009,738947
8/1/2009,700259
9/1/2009,608476
10/1/2009,653812
11/1/2009,596776
12/1/2009,692281
1/1/2010,667174
2/1/2010,569564
3/1/2010,633736
4/1/2010,609581
5/1/2010,673722
6/1/2010,731204
7/1/2010,762768
8/1/2010,732300
9/1/2010,624146
10/1/2010,668410
11/1/2010,609459
12/1/2010,671177
1/1/2011,669675
2/1/2011,569786
3/1/2011,649132
4/1/2011,664251
5/1/2011,738752
6/1/2011,768991
7/1/2011,812098
8/1/2011,774820
9/1/2011,687111
10/1/2011,709054
11/1/2011,627117
12/1/2011,710725
1/1/2012,695520
2/1/2012,587438
3/1/2012,680303
4/1/2012,676475
5/1/2012,739300
6/1/2012,797329
7/1/2012,834646
8/1/2012,799616
9/1/2012,699325
10/1/2012,716726
11/1/2012,645069
12/1/2012,722182
1/1/2013,698758
2/1/2013,594283
3/1/2013,695064
4/1/2013,676247
5/1/2013,772658
6/1/2013,813728
7/1/2013,868856
8/1/2013,859399
9/1/2013,737720
10/1/2013,764305
11/1/2013,678891
12/1/2013,766429
1/1/2014,756442
2/1/2014,648161
3/1/2014,749576
4/1/2014,741414
5/1/2014,843170
6/1/2014,901895
7/1/2014,913672
8/1/2014,931975
9/1/2014,762124
10/1/2014,803844
11/1/2014,726735
12/1/2014,811657
1/1/2015,786949
