Date,Los Angales CPI
1/1/2000,167.9
2/1/2000,169.3
3/1/2000,170.7
4/1/2000,170.6
5/1/2000,171.1
6/1/2000,171
7/1/2000,171.7
8/1/2000,172.2
9/1/2000,173.3
10/1/2000,173.8
11/1/2000,173.5
12/1/2000,173.5
1/1/2001,174.2
2/1/2001,175.4
3/1/2001,176.2
4/1/2001,176.6
5/1/2001,177.5
6/1/2001,178.9
7/1/2001,178.3
8/1/2001,178.4
9/1/2001,178.8
10/1/2001,178.3
11/1/2001,178.1
12/1/2001,177.1
1/1/2002,178.9
2/1/2002,180.1
3/1/2002,181.1
4/1/2002,182.2
5/1/2002,182.6
6/1/2002,181.9
7/1/2002,182.2
8/1/2002,183
9/1/2002,183.4
10/1/2002,183.7
11/1/2002,184
12/1/2002,183.7
1/1/2003,185.2
2/1/2003,186.5
3/1/2003,188.2
4/1/2003,187.6
5/1/2003,186.4
6/1/2003,186.3
7/1/2003,186.3
8/1/2003,186.9
9/1/2003,188.2
10/1/2003,187.8
11/1/2003,187.1
12/1/2003,187
1/1/2004,188.5
2/1/2004,190.1
3/1/2004,191.5
4/1/2004,191.9
5/1/2004,193.3
6/1/2004,193.7
7/1/2004,193.4
8/1/2004,193.1
9/1/2004,194.5
10/1/2004,196.3
11/1/2004,196.9
12/1/2004,195.2
1/1/2005,195.4
2/1/2005,197.4
3/1/2005,199.2
4/1/2005,201.1
5/1/2005,201.5
6/1/2005,200.7
7/1/2005,201.4
8/1/2005,203.1
9/1/2005,205.8
10/1/2005,206.9
11/1/2005,205.6
12/1/2005,203.9
1/1/2006,206
2/1/2006,207.5
3/1/2006,208.5
4/1/2006,210.5
5/1/2006,212.4
6/1/2006,211.1
7/1/2006,211.4
8/1/2006,211.9
9/1/2006,212.9
10/1/2006,211.4
11/1/2006,211.1
12/1/2006,210.6
1/1/2007,212.584
2/1/2007,214.76
3/1/2007,216.5
4/1/2007,217.845
5/1/2007,218.596
6/1/2007,217.273
7/1/2007,217.454
8/1/2007,217.33
9/1/2007,217.697
10/1/2007,218.696
11/1/2007,219.943
12/1/2007,219.373
1/1/2008,220.918
2/1/2008,221.431
3/1/2008,223.606
4/1/2008,224.625
5/1/2008,226.651
6/1/2008,229.033
7/1/2008,229.886
8/1/2008,228.484
9/1/2008,227.449
10/1/2008,226.159
11/1/2008,222.229
12/1/2008,219.62
1/1/2009,220.719
2/1/2009,221.439
3/1/2009,221.376
4/1/2009,221.693
5/1/2009,222.522
6/1/2009,223.906
7/1/2009,224.01
8/1/2009,224.507
9/1/2009,225.226
10/1/2009,225.264
11/1/2009,224.317
12/1/2009,223.643
1/1/2010,224.61
2/1/2010,224.62
3/1/2010,225.483
4/1/2010,225.916
5/1/2010,226.438
6/1/2010,225.877
7/1/2010,225.991
8/1/2010,226.373
9/1/2010,226.048
10/1/2010,226.794
11/1/2010,225.941
12/1/2010,226.639
1/1/2011,228.652
2/1/2011,229.729
3/1/2011,232.241
4/1/2011,233.319
5/1/2011,233.367
6/1/2011,232.328
7/1/2011,231.303
8/1/2011,231.833
9/1/2011,233.022
10/1/2011,233.049
11/1/2011,232.731
12/1/2011,231.567
1/1/2012,233.441
2/1/2012,234.537
3/1/2012,236.941
4/1/2012,236.866
5/1/2012,237.032
6/1/2012,236.025
7/1/2012,235.776
8/1/2012,237.222
9/1/2012,238.104
10/1/2012,240.111
11/1/2012,237.675
12/1/2012,236.042
1/1/2013,238.015
2/1/2013,239.753
3/1/2013,239.995
4/1/2013,239.043
5/1/2013,239.346
6/1/2013,239.223
7/1/2013,238.92
8/1/2013,239.219
9/1/2013,239.611
10/1/2013,239.94
11/1/2013,238.677
12/1/2013,238.742
1/1/2014,239.857
2/1/2014,241.059
3/1/2014,242.491
4/1/2014,242.437
5/1/2014,243.362
6/1/2014,243.528
7/1/2014,243.727
8/1/2014,243.556
9/1/2014,243.623
10/1/2014,243.341
11/1/2014,241.753
12/1/2014,240.475
1/1/2015,239.724
2/1/2015,241.297
3/1/2015,243.738
4/1/2015,243.569
