Date,# of Sightings,
1/1/2000,231.00,
2/1/2000,202.00,"	"
3/1/2000,225.00,"	"
4/1/2000,197.00,"	"
5/1/2000,188.00,"	"
6/1/2000,273.00,"	"
7/1/2000,362.00,"	"
8/1/2000,297.00,"	"
9/1/2000,297.00,"	"
10/1/2000,329.00,"	"
11/1/2000,232.00,"	"
12/1/2000,233.00,"	"
1/1/2001,282.00,"	"
2/1/2001,233.00,"	"
3/1/2001,291.00,"	"
4/1/2001,234.00,"	"
5/1/2001,255.00,"	"
6/1/2001,312.00,"	"
7/1/2001,407.00,"	"
8/1/2001,396.00,"	"
9/1/2001,349.00,"	"
10/1/2001,257.00,"	"
11/1/2001,279.00,"	"
12/1/2001,213.00,"	"
1/1/2002,238.00,"	"
2/1/2002,259.00,"	"
3/1/2002,197.00,"	"
4/1/2002,190.00,"	"
5/1/2002,251.00,"	"
6/1/2002,347.00,"	"
7/1/2002,434.00,"	"
8/1/2002,488.00,"	"
9/1/2002,376.00,"	"
10/1/2002,336.00,"	"
11/1/2002,295.00,"	"
12/1/2002,249.00,"	"
1/1/2003,327.00,"	"
2/1/2003,267.00,"	"
3/1/2003,191.00,"	"
4/1/2003,225.00,"	"
5/1/2003,252.00,"	"
6/1/2003,308.00,"	"
7/1/2003,451.00,"	"
8/1/2003,544.00,"	"
9/1/2003,507.00,"	"
10/1/2003,473.00,"	"
11/1/2003,472.00,"	"
12/1/2003,383.00,"	"
1/1/2004,306.00,"	"
2/1/2004,301.00,"	"
3/1/2004,416.00,"	"
4/1/2004,393.00,"	"
5/1/2004,390.00,"	"
6/1/2004,431.00,"	"
7/1/2004,438.00,"	"
8/1/2004,549.00,"	"
9/1/2004,411.00,"	"
10/1/2004,453.00,"	"
11/1/2004,329.00,"	"
12/1/2004,306.00,"	"
1/1/2005,258.00,"	"
2/1/2005,278.00,"	"
3/1/2005,358.00,"	"
4/1/2005,315.00,"	"
5/1/2005,302.00,"	"
6/1/2005,409.00,"	"
7/1/2005,454.00,"	"
8/1/2005,355.00,"	"
9/1/2005,532.00,"	"
10/1/2005,487.00,"	"
11/1/2005,465.00,"	"
12/1/2005,276.00,"	"
1/1/2006,253.00,"	"
2/1/2006,232.00,"	"
3/1/2006,305.00,"	"
4/1/2006,322.00,"	"
5/1/2006,301.00,"	"
6/1/2006,341.00,"	"
7/1/2006,426.00,"	"
8/1/2006,429.00,"	"
9/1/2006,326.00,"	"
10/1/2006,400.00,"	"
11/1/2006,413.00,"	"
12/1/2006,387.00,"	"
1/1/2007,441.00,"	"
2/1/2007,267.00,"	"
3/1/2007,363.00,"	"
4/1/2007,323.00,"	"
5/1/2007,316.00,"	"
6/1/2007,426.00,"	"
7/1/2007,465.00,"	"
8/1/2007,471.00,"	"
9/1/2007,450.00,"	"
10/1/2007,448.00,"	"
11/1/2007,375.00,"	"
12/1/2007,361.00,"	"
1/1/2008,475.00,"	"
2/1/2008,372.00,"	"
3/1/2008,341.00,"	"
4/1/2008,443.00,"	"
5/1/2008,346.00,"	"
6/1/2008,479.00,"	"
7/1/2008,576.00,"	"
8/1/2008,505.00,"	"
9/1/2008,383.00,"	"
10/1/2008,534.00,"	"
11/1/2008,456.00,"	"
12/1/2008,350.00,"	"
1/1/2009,499.00,"	"
2/1/2009,396.00,"	"
3/1/2009,341.00,"	"
4/1/2009,317.00,"	"
5/1/2009,360.00,"	"
6/1/2009,389.00,"	"
7/1/2009,612.00,"	"
8/1/2009,500.00,"	"
9/1/2009,600.00,"	"
10/1/2009,322.00,"	"
11/1/2009,323.00,"	"
12/1/2009,293.00,"	"
1/1/2010,293.00,"	"
2/1/2010,189.00,"	"
3/1/2010,262.00,"	"
4/1/2010,296.00,"	"
5/1/2010,330.00,"	"
6/1/2010,384.00,"	"
7/1/2010,844.00,"	"
8/1/2010,531.00,"	"
9/1/2010,450.00,"	"
10/1/2010,475.00,"	"
11/1/2010,365.00,"	"
12/1/2010,306.00,"	"
1/1/2011,329.00,"	"
2/1/2011,274.00,"	"
3/1/2011,334.00,"	"
4/1/2011,318.00,"	"
5/1/2011,320.00,"	"
6/1/2011,401.00,"	"
7/1/2011,766.00,"	"
8/1/2011,642.00,"	"
9/1/2011,557.00,"	"
10/1/2011,643.00,"	"
11/1/2011,445.00,"	"
12/1/2011,533.00,"	"
1/1/2012,585.00,"	"
2/1/2012,394.00,"	"
3/1/2012,536.00,"	"
4/1/2012,498.00,"	"
5/1/2012,521.00,"	"
6/1/2012,761.00,"	"
7/1/2012,937.00,"	"
8/1/2012,903.00,"	"
9/1/2012,769.00,"	"
10/1/2012,675.00,"	"
11/1/2012,781.00,"	"
12/1/2012,672.00,"	"
1/1/2013,398.00,"	"
2/1/2013,282.00,"	"
3/1/2013,403.00,"	"
4/1/2013,425.00,"	"
5/1/2013,533.00,"	"
6/1/2013,635.00,"	"
7/1/2013,980.00,"	"
8/1/2013,915.00,"	"
9/1/2013,794.00,"	"
10/1/2013,795.00,"	"
11/1/2013,810.00,"	"
12/1/2013,762.00,"	"
1/1/2014,716.00,"	"
2/1/2014,555.00,"	"
3/1/2014,516.00,"	"
4/1/2014,667.00,"	"
5/1/2014,652.00,"	"
6/1/2014,774.00,"	"
7/1/2014,109.00,"0	"
8/1/2014,915.00,"	"
9/1/2014,827.00,"	"
10/1/2014,786.00,"	"
11/1/2014,542.00,"	"
12/1/2014,518.00,"	"
1/1/2015,515.00,"	"
2/1/2015,324.00,"	"
3/1/2015,466.00,"	"
4/1/2015,432.00,"	"
5/1/2015,423.00,"	"
6/1/2015,"43	",
