Date,Unemployment Rate
1/1/2005,7
2/1/2005,6.91
3/1/2005,6.48
4/1/2005,6.28
5/1/2005,6.09
6/1/2005,6.18
7/1/2005,6.41
8/1/2005,5.84
9/1/2005,5.84
10/1/2005,5.71
11/1/2005,6.07
12/1/2005,5.69
1/1/2006,5.94
2/1/2006,5.84
3/1/2006,5.34
4/1/2006,5.18
5/1/2006,5.18
6/1/2006,5.21
7/1/2006,5.79
8/1/2006,5.48
9/1/2006,5.16
10/1/2006,4.81
11/1/2006,5.02
12/1/2006,4.91
1/1/2007,5.71
2/1/2007,5.4
3/1/2007,5.21
4/1/2007,5
5/1/2007,5
6/1/2007,5.43
7/1/2007,6.07
8/1/2007,5.78
9/1/2007,5.73
10/1/2007,5.66
11/1/2007,5.81
12/1/2007,6
1/1/2008,6.76
2/1/2008,6.51
3/1/2008,6.71
4/1/2008,6.59
5/1/2008,7.2
6/1/2008,7.7
7/1/2008,8.66
8/1/2008,8.94
9/1/2008,8.89
10/1/2008,9.05
11/1/2008,9.45
12/1/2008,10
1/1/2009,11.25
2/1/2009,11.4
3/1/2009,11.59
4/1/2009,11.37
5/1/2009,11.73
6/1/2009,12.25
7/1/2009,12.88
8/1/2009,12.79
9/1/2009,12.63
10/1/2009,12.54
11/1/2009,12.45
12/1/2009,12.4
1/1/2010,13.3
2/1/2010,13
3/1/2010,13
4/1/2010,12.59
5/1/2010,12.54
6/1/2010,13
7/1/2010,13.74
8/1/2010,13.62
9/1/2010,13.16
10/1/2010,13.01
11/1/2010,13.3
12/1/2010,12.94
1/1/2011,13.38
2/1/2011,12.86
3/1/2011,12.57
4/1/2011,12.37
5/1/2011,12.47
6/1/2011,13.09
7/1/2011,13.73
8/1/2011,13.5
9/1/2011,13.13
10/1/2011,12.75
11/1/2011,12.33
12/1/2011,12.27
1/1/2012,12.58
2/1/2012,12.22
3/1/2012,11.82
4/1/2012,11.23
5/1/2012,11.36
6/1/2012,11.73
7/1/2012,12.43
8/1/2012,11.8
9/1/2012,11
10/1/2012,11
11/1/2012,10.61
12/1/2012,10.74
1/1/2013,11.45
2/1/2013,10.74
3/1/2013,10.33
4/1/2013,10
5/1/2013,10.12
6/1/2013,10.75
7/1/2013,11.07
8/1/2013,10.5
9/1/2013,9.97
10/1/2013,9.87
11/1/2013,9.37
12/1/2013,9.03
1/1/2014,9.43
2/1/2014,9.17
3/1/2014,9
4/1/2014,8.24
5/1/2014,8.45
6/1/2014,8.71
7/1/2014,9.44
8/1/2014,9.1
9/1/2014,8.54
10/1/2014,8.46
11/1/2014,8.38
12/1/2014,8.01
1/1/2015,8.66
2/1/2015,8.18
3/1/2015,7.73
