Date,# of Crimes
1/1/2004,9
2/1/2004,7
3/1/2004,5
4/1/2004,4
5/1/2004,10
6/1/2004,5
7/1/2004,9
8/1/2004,5
9/1/2004,8
10/1/2004,7
11/1/2004,6
12/1/2004,11
1/1/2005,10
2/1/2005,7
3/1/2005,11
4/1/2005,6
5/1/2005,6
6/1/2005,8
7/1/2005,10
8/1/2005,12
9/1/2005,12
10/1/2005,9
11/1/2005,4
12/1/2005,8
1/1/2006,8
2/1/2006,9
3/1/2006,7
4/1/2006,6
5/1/2006,8
6/1/2006,5
7/1/2006,3
8/1/2006,6
9/1/2006,12
10/1/2006,11
11/1/2006,9
12/1/2006,9
1/1/2007,12
2/1/2007,9
3/1/2007,7
4/1/2007,6
5/1/2007,12
6/1/2007,8
7/1/2007,8
8/1/2007,9
9/1/2007,9
10/1/2007,7
11/1/2007,6
12/1/2007,10
1/1/2008,7
2/1/2008,9
3/1/2008,6
4/1/2008,7
5/1/2008,13
6/1/2008,15
7/1/2008,11
8/1/2008,10
9/1/2008,16
10/1/2008,7
11/1/2008,9
12/1/2008,6
1/1/2009,7
2/1/2009,9
3/1/2009,10
4/1/2009,3
5/1/2009,8
6/1/2009,11
7/1/2009,6
8/1/2009,11
9/1/2009,8
10/1/2009,7
11/1/2009,13
12/1/2009,7
1/1/2010,8
2/1/2010,7
3/1/2010,8
4/1/2010,7
5/1/2010,10
6/1/2010,4
7/1/2010,6
8/1/2010,12
9/1/2010,12
10/1/2010,6
11/1/2010,9
12/1/2010,7
1/1/2011,9
2/1/2011,1
3/1/2011,5
4/1/2011,6
5/1/2011,12
6/1/2011,7
7/1/2011,4
8/1/2011,9
9/1/2011,9
10/1/2011,4
11/1/2011,6
12/1/2011,5
1/1/2012,14
2/1/2012,7
3/1/2012,10
4/1/2012,9
5/1/2012,5
6/1/2012,6
7/1/2012,4
8/1/2012,5
9/1/2012,5
10/1/2012,2
11/1/2012,4
12/1/2012,6
1/1/2013,5
2/1/2013,4
3/1/2013,6
4/1/2013,5
5/1/2013,11
6/1/2013,2
7/1/2013,6
8/1/2013,7
9/1/2013,5
10/1/2013,5
11/1/2013,7
12/1/2013,2
1/1/2014,4
2/1/2014,5
3/1/2014,6
4/1/2014,11
5/1/2014,7
6/1/2014,8
7/1/2014,8
8/1/2014,11
9/1/2014,7
10/1/2014,3
11/1/2014,9
12/1/2014,5
