Full Date,Weighted Drought Score
1/1/00,67.104
2/1/00,73.052
3/1/00,79.1365
4/1/00,79.4985
5/1/00,80
6/1/00,80
7/1/00,79.6195
8/1/00,76.2028
9/1/00,77.538
10/1/00,77.8732
11/1/00,80
12/1/00,80
1/1/01,74.6
2/1/01,72.997
3/1/01,73.884
4/1/01,70.379
5/1/01,68.4392
6/1/01,62.0845
7/1/01,61.3144
8/1/01,59.873
9/1/01,52.2365
10/1/01,50.084
11/1/01,50.773
12/1/01,61.4285
1/1/02,76.8504
2/1/02,71.907
3/1/02,67.4135
4/1/02,59.2408
5/1/02,56.057
6/1/02,47.6585
7/1/02,43.0588
8/1/02,41.701
9/1/02,41.944
10/1/02,38.898
11/1/02,45.0505
12/1/02,53.3628
1/1/03,60.461
2/1/03,58.688
3/1/03,60.636
4/1/03,62.132
5/1/03,65.6375
6/1/03,65.921
7/1/03,65.732
8/1/03,65.9405
9/1/03,65.8624
10/1/03,58.394
11/1/03,59.7385
12/1/03,62.574
1/1/04,67.7935
2/1/04,68.6345
3/1/04,69.294
4/1/04,62.6775
5/1/04,52.6745
6/1/04,51.8548
7/1/04,50.478
8/1/04,46.0468
9/1/04,44.548
10/1/04,47.593
11/1/04,56.5948
12/1/04,59.89
1/1/05,75.329
2/1/05,77.2595
3/1/05,77.5924
4/1/05,78.641
5/1/05,79.3844
6/1/05,79.722
7/1/05,79.79
8/1/05,79.7768
9/1/05,79.861
10/1/05,79.916
11/1/05,78.9516
12/1/05,78.383
1/1/06,79.4464
2/1/06,76.643
3/1/06,76.741
4/1/06,78.5265
5/1/06,78.4648
6/1/06,78.443
7/1/06,78.3925
8/1/06,78.5056
9/1/06,76.627
10/1/06,76.7964
11/1/06,76.06
12/1/06,67.486
1/1/07,55.8448
2/1/07,46.693
3/1/07,46.7405
4/1/07,36.5485
5/1/07,31.668
6/1/07,28.795
7/1/07,28.4664
8/1/07,28.454
9/1/07,28.4575
10/1/07,30.0196
11/1/07,33.188
12/1/07,33.214
1/1/08,41.0172
2/1/08,54.901
3/1/08,60.0645
4/1/08,56.4916
5/1/08,50.1195
6/1/08,42.463
7/1/08,37.8272
8/1/08,33.302
9/1/08,30.6312
10/1/08,30.0015
11/1/08,35.057
12/1/08,33.2044
1/1/09,33.517
2/1/09,34.6595
3/1/09,42.772
4/1/09,39.882
5/1/09,39.247
6/1/09,37.2932
7/1/09,37.066
8/1/09,36.874
9/1/09,36.142
10/1/09,41.098
11/1/09,42.7585
12/1/09,44.3344
1/1/10,49.449
2/1/10,67.59
3/1/10,69.6872
4/1/10,70.171
5/1/10,72.5535
6/1/10,75.436
7/1/10,75.8945
8/1/10,75.424
9/1/10,75.424
10/1/10,76.2975
11/1/10,76.9192
12/1/10,77.429
1/1/11,79.9215
2/1/11,77.728
3/1/11,79.406
4/1/11,79.998
5/1/11,79.998
6/1/11,79.384
7/1/11,77.313
8/1/11,77.8824
9/1/11,77.6595
10/1/11,77.85
11/1/11,77.7156
12/1/11,72.8475
1/1/12,54.1696
2/1/12,47.5415
3/1/12,35.8085
4/1/12,40.585
5/1/12,46.988
6/1/12,46.8085
7/1/12,45.7956
8/1/12,44.339
9/1/12,44.0475
10/1/12,43.7272
11/1/12,43.291
12/1/12,49.091
1/1/13,51.7376
2/1/13,49.9765
3/1/13,46.928
4/1/13,44.0876
5/1/13,31.118
6/1/13,27.02
7/1/13,21.6668
8/1/13,21.582
9/1/13,22.668
10/1/13,24.5016
11/1/13,24.6715
12/1/13,24.8824
1/1/14,23.1425
2/1/14,20.076
3/1/14,17.54
4/1/14,16.112
5/1/14,15.2475
6/1/14,14.229
7/1/14,11.8292
8/1/14,8.6875
9/1/14,9.2508
10/1/14,9.302
11/1/14,10.1625
12/1/14,13.0788
1/1/15,13.986
2/1/15,13.659
3/1/15,13.6144
4/1/15,12.6095
5/1/15,12.223
6/1/15,12.152
