Full Date,Weighted Drought Score,Dow_Date,Dow_Open,Dow_High,Dow_Low,Dow_Close,Dow_Avg Vol,Dow_Adj Close*,Unemployment,pew-congress-poll-date,pew-congress-approve,pew-congress-disapprove
1/1/00,67.104,3-Jan-00,"11,501.85","11,750.28","10,701.64","10,940.53","202,320,500","10,940.53",4,,,
2/1/00,73.052,1-Feb-00,"10,937.74","11,118.93","9,836.06","10,128.31","192,624,000","10,128.31",4.1,,,
3/1/00,79.1365,1-Mar-00,"10,128.11","11,234.65","9,731.81","10,921.92","214,531,300","10,921.92",4,,,
4/1/00,79.4985,3-Apr-00,"10,863.28","11,425.45","10,201.53","10,733.91","222,277,300","10,733.91",3.8,,,
5/1/00,80,1-May-00,"10,749.42","10,971.24","10,258.81","10,522.33","180,902,700","10,522.33",4,,,
6/1/00,80,1-Jun-00,"10,532.27","10,863.00","10,335.46","10,447.89","183,984,000","10,447.89",4,,,
7/1/00,79.6195,3-Jul-00,"10,450.36","10,874.63","10,393.09","10,521.98","171,235,000","10,521.98",4,,,
8/1/00,76.2028,1-Aug-00,"10,523.81","11,319.06","10,516.76","11,215.10","165,393,400","11,215.10",4.1,,,
9/1/00,77.538,1-Sep-00,"11,219.54","11,401.19","10,567.32","10,650.92","243,814,500","10,650.92",3.9,,,
10/1/00,77.8732,2-Oct-00,"10,659.06","10,995.41","9,654.64","10,971.14","297,119,000","10,971.14",3.9,,,
11/1/00,80,1-Nov-00,"10,966.21","11,006.50","10,292.39","10,414.49","240,123,800","10,414.49",3.9,,,
12/1/00,80,1-Dec-00,"10,416.76","10,917.68","10,299.21","10,787.99","270,669,000","10,787.99",3.9,,,
1/1/01,74.6,2-Jan-01,"10,790.92","11,028.00","10,468.04","10,887.36","290,786,600","10,887.36",4.2,1/7/01,65,23
2/1/01,72.997,1-Feb-01,"10,884.82","11,035.14","10,294.01","10,495.28","232,537,300","10,495.28",4.2,,,
3/1/01,73.884,1-Mar-01,"10,493.25","10,859.50","9,106.54","9,878.78","287,975,900","9,878.78",4.3,,,
4/1/01,70.379,2-Apr-01,"9,877.16","10,906.41","9,375.72","10,734.97","272,376,000","10,734.97",4.4,,,
5/1/01,68.4392,1-May-01,"10,734.05","11,350.05","10,673.22","10,911.94","214,034,500","10,911.94",4.3,,,
6/1/01,62.0845,1-Jun-01,"10,913.57","11,196.53","10,394.72","10,502.40","249,665,700","10,502.40",4.5,,,
7/1/01,61.3144,2-Jul-01,"10,504.95","10,679.12","10,120.89","10,522.81","230,015,700","10,522.81",4.6,,,
8/1/01,59.873,1-Aug-01,"10,527.38","10,609.65","9,869.14","9,949.75","185,203,000","9,949.75",4.9,,,
9/1/01,52.2365,4-Sep-01,"9,946.98","10,182.38","8,062.34","8,847.56","393,054,000","8,847.56",5,,,
10/1/01,50.084,1-Oct-01,"8,845.97","9,598.17","8,732.14","9,075.14","259,444,700","9,075.14",5.3,,,
